Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Custom study tncs accepted at
6356bb6c6aedb5fd7ae4b66f,5ec802e542730c299fbbafef,APPROVED,2022-10-24T16:23:13.669000Z,2022-10-24T16:56:11.053000Z,2022-10-24T16:56:11.498000Z,2022-10-24T16:56:11.405542Z,1978.0,C1KCG103,238,English,42,Male,Asian,United States,United States,Korea,English,No,Full-Time,
6356bd2703886550d4da42b2,600b4cdb45d6e41cbaa79e33,APPROVED,2022-10-24T16:28:26.612000Z,2022-10-24T16:45:35.024000Z,2022-10-24T16:45:35.464000Z,2022-10-24T16:45:35.382607Z,1029.0,C1KCG103,576,"English, Korean",35,Female,Asian,Korea,United States,Korea,Korean,No,Full-Time,
6356bf6afb408272573eb3ab,5e48ae9451537d349b8113b4,APPROVED,2022-10-24T16:38:05.828000Z,2022-10-24T17:02:46.202000Z,2022-10-24T17:02:46.845000Z,2022-10-24T17:02:46.777952Z,1481.0,C1KCG103,1074,English,58,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
6356bd5411068a850565cca8,5f3227893ca51916b4ff6d9d,RETURNED,2022-10-24T16:29:11.984000Z,,,,,,1695,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
6356bb6c6aedb5fd7ae4b66f,5ec802e542730c299fbbafef,APPROVED,2022-10-24T16:23:13.669000Z,2022-10-24T16:56:11.053000Z,2022-10-24T16:56:11.498000Z,2022-10-24T16:56:11.405000Z,1978.0,C1KCG103,570,English,45,Male,Asian,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
6356bd2703886550d4da42b2,600b4cdb45d6e41cbaa79e33,APPROVED,2022-10-24T16:28:26.612000Z,2022-10-24T16:45:35.024000Z,2022-10-24T16:45:35.464000Z,2022-10-24T16:45:35.382000Z,1029.0,C1KCG103,1130,"English, Korean",38,Female,Asian,Korea,United States,Korea,Korean,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
6356bf6afb408272573eb3ab,5e48ae9451537d349b8113b4,APPROVED,2022-10-24T16:38:05.828000Z,2022-10-24T17:02:46.202000Z,2022-10-24T17:02:46.845000Z,2022-10-24T17:02:46.777000Z,1481.0,C1KCG103,1529,English,61,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
