Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Custom study tncs accepted at
6357c6e854d0f4898583c0be,5f636ecb4ea0bf03d640028f,RETURNED,2022-10-25T11:22:21.870000Z,,,,,,7940,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
6357c7111d83cd587b4d8a23,5bb9ed46ecdd5e0001603021,RETURNED,2022-10-25T11:23:01.705000Z,,,,,,6837,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
6357c787fa22b6c6f47750ce,5bfadc1846911f0001d7d1eb,RETURNED,2022-10-25T11:24:58.142000Z,,,,,,3635,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
6357c801b2d04586845f0c1b,5c237be889f035000173c96c,RETURNED,2022-10-25T11:27:57.405000Z,,,,,,7914,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
6357c81f66350a24116a81af,60da85dbae74ca4d3619b17c,RETURNED,2022-10-25T11:27:33.125000Z,,,,,,962,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
6357c82a53713ffe3071b958,5fc521555cd05b000cfe0998,RETURNED,2022-10-25T11:27:40.574000Z,,,,,,10583,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
6357c8de4db2cd19ab2f835d,62e7c7dfe2d1a825e4e88dec,RETURNED,2022-10-25T11:30:45.046000Z,,,,,,1123,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
6357c975230b42c45286ce34,5dd3bfcd8b8df139ce007928,RETURNED,2022-10-25T11:33:11.703000Z,,,,,,9170,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
6357ca2c6d13dc21b19c0809,62c2da4e711cf6806c5f89a2,RETURNED,2022-10-25T11:36:15.149000Z,,,,,,808,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
6357ca302a79fb77b06a81bd,628fde22d960fa7a63fb231d,RETURNED,2022-10-25T11:36:20.304000Z,,,,,,5426,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
6357cc839544643822a83dbf,614f6bad672ef7cf5ecfd965,RETURNED,2022-10-25T11:46:11.375000Z,,,,,,10584,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
6357d3486779a3dba632e58b,6100372e3a116cb5cb36ebea,RETURNED,2022-10-25T12:26:00.022000Z,,,,,,2276,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
