"study3_id","loading","loading_se","loading_p","r2","residual_var","theory","technology","flag_low_loading","flag_low_r2","r2_rank","loading_rank"
"contractualist01",0.922053526595902,0.0152210763139815,0,0.85018270590794,0.14981729409206,"contractualist","NPP",FALSE,FALSE,6,6
"contractualist02",0.912727453632607,0.0170802563882657,0,0.833071404614662,0.166928595385338,"contractualist","NPP",FALSE,FALSE,5,5
"contractualist03",0.851457515348726,0.0245751099366428,0,0.724979900443825,0.275020099556175,"contractualist","NPP",FALSE,FALSE,2,2
"contractualist04",0.858912224473472,0.0210657723440391,0,0.737730209349968,0.262269790650032,"contractualist","NPP",FALSE,FALSE,3,3
"contractualist05",0.81016784607121,0.0251506532588834,0,0.656371938807664,0.343628061192336,"contractualist","NPP",FALSE,FALSE,1,1
"contractualist06",0.901689577668205,0.0156993973086308,0,0.813044094475466,0.186955905524534,"contractualist","NPP",FALSE,FALSE,4,4
"deontology01",0.628575246408426,0.0442263735685389,0,0.395106840397414,0.604893159602586,"deontology","NPP",FALSE,FALSE,1,1
"deontology02",0.69914013827393,0.0353672984757798,0,0.48879693294569,0.51120306705431,"deontology","NPP",FALSE,FALSE,2,2
"deontology03",0.778524102754707,0.0407874067566252,0,0.606099778570021,0.393900221429979,"deontology","NPP",FALSE,FALSE,4,4
"deontology04",0.847084993991374,0.0226000844859849,0,0.717552987045367,0.282447012954633,"deontology","NPP",FALSE,FALSE,8,8
"deontology05",0.766091159088756,0.0317542214561913,0,0.586895664033954,0.413104335966046,"deontology","NPP",FALSE,FALSE,3,3
"deontology06",0.837396208024941,0.0259274065616216,0,0.70123240921455,0.29876759078545,"deontology","NPP",FALSE,FALSE,7,7
"deontology07",0.835945702692402,0.0224939792421556,0,0.698805217849893,0.301194782150107,"deontology","NPP",FALSE,FALSE,6,6
"deontology08",0.826316979055945,0.0260066886447168,0,0.682799749876143,0.317200250123857,"deontology","NPP",FALSE,FALSE,5,5
"hedonism01",0.918658465477459,0.0117870248020929,0,0.8439333761934,0.1560666238066,"hedonism","NPP",FALSE,FALSE,9,9
"hedonism02",0.481803650624188,0.0568095920088616,0,0.232134757754795,0.767865242245205,"hedonism","NPP",FALSE,TRUE,1,1
"hedonism03",0.772471177738026,0.0326624950994556,0,0.596711720435973,0.403288279564027,"hedonism","NPP",FALSE,FALSE,2,2
"hedonism04",0.900654075836654,0.0164895718562201,0,0.811177764321177,0.188822235678823,"hedonism","NPP",FALSE,FALSE,7,7
"hedonism05",0.822233883581558,0.0292173343417358,0,0.676068559309612,0.323931440690388,"hedonism","NPP",FALSE,FALSE,5,5
"hedonism06",0.917695228587102,0.013609135413309,0,0.842164532571533,0.157835467428467,"hedonism","NPP",FALSE,FALSE,8,8
"hedonism07",0.840517675970349,0.0244964800123688,0,0.706469963618596,0.293530036381404,"hedonism","NPP",FALSE,FALSE,6,6
"hedonism08",0.804196329978415,0.0242506406604844,0,0.646731737150752,0.353268262849248,"hedonism","NPP",FALSE,FALSE,4,4
"hedonism09",0.795161810539105,0.0278511670942056,0,0.632282304939828,0.367717695060172,"hedonism","NPP",FALSE,FALSE,3,3
"relativist01",0.876316064671067,0.0219977690332725,0,0.767929845200585,0.232070154799415,"relativist","NPP",FALSE,FALSE,1,1
"relativist02",0.90303532365061,0.0153369453604083,0,0.815472795760762,0.184527204239238,"relativist","NPP",FALSE,FALSE,5,5
"relativist03",0.879162292053388,0.0226955607174658,0,0.772926335768567,0.227073664231433,"relativist","NPP",FALSE,FALSE,2,2
"relativist04",0.892362338917227,0.015718913426131,0,0.796310543917825,0.203689456082175,"relativist","NPP",FALSE,FALSE,3,3
"relativist05",0.893129600419356,0.0190956458786876,0,0.797680483145239,0.202319516854761,"relativist","NPP",FALSE,FALSE,4,4
"utilitarian01",0.824569369360754,0.0270389880753263,0,0.679914644887991,0.320085355112009,"utilitarian","NPP",FALSE,FALSE,1,1
"utilitarian02",0.906285745024784,0.0137382230729464,0,0.821353851635128,0.178646148364872,"utilitarian","NPP",FALSE,FALSE,8,8
"utilitarian03",0.863260838819273,0.0221246947845465,0,0.745219275838955,0.254780724161045,"utilitarian","NPP",FALSE,FALSE,3,3
"utilitarian04",0.927594909216399,0.0106551815148796,0,0.860432315604179,0.139567684395821,"utilitarian","NPP",FALSE,FALSE,9,9
"utilitarian05",0.904075896311295,0.0150988633840034,0,0.817353226291071,0.182646773708929,"utilitarian","NPP",FALSE,FALSE,6,6
"utilitarian06",0.898231474155406,0.0154892374242938,0,0.806819781163393,0.193180218836607,"utilitarian","NPP",FALSE,FALSE,5,5
"utilitarian07",0.904227415446397,0.0140438759192278,0,0.817627218844872,0.182372781155128,"utilitarian","NPP",FALSE,FALSE,7,7
"utilitarian08",0.846286323534607,0.0196016727232126,0,0.716200541401722,0.283799458598278,"utilitarian","NPP",FALSE,FALSE,2,2
"utilitarian09",0.890545720966193,0.0161058496872864,0,0.793071681131197,0.206928318868803,"utilitarian","NPP",FALSE,FALSE,4,4
"virtue01",0.911232028829159,0.0139593404290309,0,0.830343810364105,0.169656189635895,"virtue","NPP",FALSE,FALSE,9,9
"virtue02",0.907299423220866,0.014055712435399,0,0.823192243376915,0.176807756623085,"virtue","NPP",FALSE,FALSE,8,8
"virtue03",0.825831659686311,0.0224997848150416,0,0.681997930140248,0.318002069859752,"virtue","NPP",FALSE,FALSE,5,5
"virtue04",0.733038017438736,0.0394273485266543,0,0.537344735010513,0.462655264989487,"virtue","NPP",FALSE,FALSE,3,3
"virtue05",0.833931255053563,0.0278195906022195,0,0.69544133815521,0.30455866184479,"virtue","NPP",FALSE,FALSE,6,6
"virtue06",0.703189758363993,0.0417267083677477,0,0.494475836268011,0.505524163731989,"virtue","NPP",FALSE,FALSE,2,2
"virtue07",0.702111449222805,0.0326505068127309,0,0.492960487129748,0.507039512870252,"virtue","NPP",FALSE,FALSE,1,1
"virtue08",0.797100527432912,0.0239469171627276,0,0.635369250833827,0.364630749166173,"virtue","NPP",FALSE,FALSE,4,4
"virtue09",0.896578629514702,0.0167333220968968,0,0.803853238902462,0.196146761097538,"virtue","NPP",FALSE,FALSE,7,7
"contractualist01",0.886066439789977,0.0198936500530854,0,0.785113735722084,0.214886264277916,"contractualist","HM",FALSE,FALSE,5,5
"contractualist02",0.896838628272614,0.0205905444251202,0,0.804319525161903,0.195680474838097,"contractualist","HM",FALSE,FALSE,6,6
"contractualist03",0.829443252496197,0.0224768412197037,0,0.68797610911147,0.31202389088853,"contractualist","HM",FALSE,FALSE,3,3
"contractualist04",0.779792721444136,0.0281952703911006,0,0.608076688417252,0.391923311582748,"contractualist","HM",FALSE,FALSE,2,2
"contractualist05",0.767236497219409,0.033784498417719,0,0.588651842665508,0.411348157334492,"contractualist","HM",FALSE,FALSE,1,1
"contractualist06",0.854219938479314,0.0252430695243064,0,0.729691703295602,0.270308296704398,"contractualist","HM",FALSE,FALSE,4,4
"deontology01",0.541408527338505,0.0587168862923761,0,0.293123193474849,0.706876806525151,"deontology","HM",FALSE,TRUE,1,1
"deontology02",0.790400418676757,0.0253748962018172,0,0.624732821844393,0.375267178155607,"deontology","HM",FALSE,FALSE,5,5
"deontology03",0.810626143472569,0.0273547290935999,0,0.657114744481209,0.342885255518791,"deontology","HM",FALSE,FALSE,6,6
"deontology04",0.874489639708945,0.0190444575169935,0,0.764732129958281,0.235267870041719,"deontology","HM",FALSE,FALSE,8,8
"deontology05",0.752852818602093,0.0436320127295252,0,0.566787366477116,0.433212633522884,"deontology","HM",FALSE,FALSE,3,3
"deontology06",0.784950690925002,0.0371744103091394,0,0.616147587183638,0.383852412816362,"deontology","HM",FALSE,FALSE,4,4
"deontology07",0.71851129995109,0.0379628231863582,0,0.516258488157405,0.483741511842595,"deontology","HM",FALSE,FALSE,2,2
"deontology08",0.865765290865567,0.0194593658006898,0,0.749549538867539,0.250450461132461,"deontology","HM",FALSE,FALSE,7,7
"hedonism01",0.894701267257499,0.0173537151028137,0,0.800490357632174,0.199509642367826,"hedonism","HM",FALSE,FALSE,9,9
"hedonism02",0.665693085642287,0.0404166080478052,0,0.443147284271949,0.556852715728051,"hedonism","HM",FALSE,FALSE,2,2
"hedonism03",0.617957305855194,0.0459092336417183,0,0.38187123185981,0.61812876814019,"hedonism","HM",FALSE,FALSE,1,1
"hedonism04",0.882997532009992,0.0183174957277696,0,0.779684641535737,0.220315358464263,"hedonism","HM",FALSE,FALSE,8,8
"hedonism05",0.770708460842742,0.0371952562921911,0,0.593991531614588,0.406008468385412,"hedonism","HM",FALSE,FALSE,4,4
"hedonism06",0.86279699169023,0.0191848249778088,0,0.744418648869711,0.255581351130289,"hedonism","HM",FALSE,FALSE,7,7
"hedonism07",0.6935384616022,0.0412055245595593,0,0.480995597721546,0.519004402278454,"hedonism","HM",FALSE,FALSE,3,3
"hedonism08",0.784805808340675,0.027316240765155,0,0.61592015680526,0.38407984319474,"hedonism","HM",FALSE,FALSE,5,5
"hedonism09",0.792717936818386,0.0280507879812016,0,0.628401727353599,0.371598272646401,"hedonism","HM",FALSE,FALSE,6,6
"relativist01",0.837155216734448,0.0217045106360019,0,0.7008288569057,0.2991711430943,"relativist","HM",FALSE,FALSE,1,1
"relativist02",0.928595426699836,0.0130717252466551,0,0.86228946648785,0.13771053351215,"relativist","HM",FALSE,FALSE,5,5
"relativist03",0.873669193082419,0.02096342546177,0,0.763297858941285,0.236702141058715,"relativist","HM",FALSE,FALSE,2,2
"relativist04",0.886376368579695,0.0171517701770175,0,0.785663066776527,0.214336933223473,"relativist","HM",FALSE,FALSE,3,3
"relativist05",0.8953720931938,0.0160658410352392,0,0.801691185270247,0.198308814729753,"relativist","HM",FALSE,FALSE,4,4
"utilitarian01",0.781003961943849,0.033953235505,0,0.609967188571989,0.390032811428011,"utilitarian","HM",FALSE,FALSE,1,1
"utilitarian02",0.902385349168851,0.0153649414227779,0,0.81429931839459,0.185700681605411,"utilitarian","HM",FALSE,FALSE,7,7
"utilitarian03",0.89076651781127,0.0159768842913037,0,0.793464989253615,0.206535010746385,"utilitarian","HM",FALSE,FALSE,6,6
"utilitarian04",0.917306270077311,0.0112587343346322,0,0.841450793123149,0.158549206876851,"utilitarian","HM",FALSE,FALSE,8,8
"utilitarian05",0.865225394178543,0.0215344652216983,0,0.748614982731415,0.251385017268585,"utilitarian","HM",FALSE,FALSE,4,4
"utilitarian06",0.846568629007009,0.0274527717832707,0,0.716678443618806,0.283321556381194,"utilitarian","HM",FALSE,FALSE,3,3
"utilitarian07",0.88144839699728,0.0158888225969602,0,0.776951276569075,0.223048723430925,"utilitarian","HM",FALSE,FALSE,5,5
"utilitarian08",0.814250340308597,0.027934099357973,0,0.663003616692665,0.336996383307335,"utilitarian","HM",FALSE,FALSE,2,2
"utilitarian09",0.933800968274369,0.00854529360561023,0,0.87198424835015,0.12801575164985,"utilitarian","HM",FALSE,FALSE,9,9
"virtue01",0.867169387330373,0.0230684795930082,0,0.751982746322935,0.248017253677065,"virtue","HM",FALSE,FALSE,5,5
"virtue02",0.895088454209301,0.017204537186847,0,0.801183340858796,0.198816659141204,"virtue","HM",FALSE,FALSE,8,8
"virtue03",0.895833310389635,0.0154763761960417,0,0.802517320003652,0.197482679996348,"virtue","HM",FALSE,FALSE,9,9
"virtue04",0.771330780254527,0.0361934868026077,0,0.594951172568058,0.405048827431942,"virtue","HM",FALSE,FALSE,4,4
"virtue05",0.870054343614686,0.0192026453793599,0,0.756994560842782,0.243005439157218,"virtue","HM",FALSE,FALSE,6,6
"virtue06",0.612472426158557,0.0553708493778063,0,0.375122472804549,0.624877527195451,"virtue","HM",FALSE,FALSE,1,1
"virtue07",0.717590662817561,0.0312445825622807,0,0.514936359362946,0.485063640637054,"virtue","HM",FALSE,FALSE,2,2
"virtue08",0.737696318583786,0.0325843343123575,0,0.54419585845207,0.45580414154793,"virtue","HM",FALSE,FALSE,3,3
"virtue09",0.884446627375717,0.0195348485756667,0,0.78224583667628,0.21775416332372,"virtue","HM",FALSE,FALSE,7,7
"contractualist01",0.913195788404186,0.0142521032833536,0,0.833926547959142,0.166073452040858,"contractualist","SAI",FALSE,FALSE,5,5
"contractualist02",0.932230647827357,0.0127239821224927,0,0.869053980748613,0.130946019251387,"contractualist","SAI",FALSE,FALSE,6,6
"contractualist03",0.864673686143755,0.0227270921743375,0,0.747660583509429,0.252339416490571,"contractualist","SAI",FALSE,FALSE,3,3
"contractualist04",0.834342139205008,0.0267978828168923,0,0.696126805253188,0.303873194746812,"contractualist","SAI",FALSE,FALSE,2,2
"contractualist05",0.711426148563121,0.037528492934479,0,0.506127164859357,0.493872835140643,"contractualist","SAI",FALSE,FALSE,1,1
"contractualist06",0.904093243875625,0.0211334053002942,0,0.81738459362155,0.18261540637845,"contractualist","SAI",FALSE,FALSE,4,4
"deontology01",0.658718775501033,0.0418356166932195,0,0.433910425197581,0.566089574802419,"deontology","SAI",FALSE,FALSE,1,1
"deontology02",0.67090044028076,0.0443278412820791,0,0.450107400768918,0.549892599231082,"deontology","SAI",FALSE,FALSE,2,2
"deontology03",0.776105047746524,0.0336281599157685,0,0.602339045137634,0.397660954862366,"deontology","SAI",FALSE,FALSE,4,4
"deontology04",0.858591041616654,0.0218129723853284,0,0.737178576744372,0.262821423255628,"deontology","SAI",FALSE,FALSE,6,6
"deontology05",0.767676615538266,0.0372405122728136,0,0.589327386044287,0.410672613955713,"deontology","SAI",FALSE,FALSE,3,3
"deontology06",0.877774453706784,0.0178376733538588,0,0.770487991580242,0.229512008419758,"deontology","SAI",FALSE,FALSE,7,7
"deontology07",0.878435827231845,0.0168792930357496,0,0.771649502564495,0.228350497435505,"deontology","SAI",FALSE,FALSE,8,8
"deontology08",0.786181412294745,0.0305334225343715,0,0.61808121303776,0.38191878696224,"deontology","SAI",FALSE,FALSE,5,5
"hedonism01",0.857584111203759,0.02127383095469,0,0.73545050778914,0.264549492210859,"hedonism","SAI",FALSE,FALSE,6,6
"hedonism02",0.619234631422627,0.0509015183597926,0,0.383451528753117,0.616548471246883,"hedonism","SAI",FALSE,FALSE,2,2
"hedonism03",0.538884689214051,0.0514212700377644,0,0.290396708269324,0.709603291730676,"hedonism","SAI",FALSE,TRUE,1,1
"hedonism04",0.908596815452548,0.0146591902921706,0,0.825548173050512,0.174451826949488,"hedonism","SAI",FALSE,FALSE,9,9
"hedonism05",0.69965389919268,0.046023593162608,0,0.48951557865552,0.51048442134448,"hedonism","SAI",FALSE,FALSE,3,3
"hedonism06",0.849310566297209,0.0221761966040778,0,0.721328438024086,0.278671561975914,"hedonism","SAI",FALSE,FALSE,5,5
"hedonism07",0.88848641887465,0.0174671744605028,0,0.7894081165247,0.210591883475299,"hedonism","SAI",FALSE,FALSE,7,7
"hedonism08",0.74880057891928,0.0340382210153599,0,0.560702306989849,0.439297693010151,"hedonism","SAI",FALSE,FALSE,4,4
"hedonism09",0.89273558721437,0.0166076370504925,0,0.796976828678986,0.203023171321014,"hedonism","SAI",FALSE,FALSE,8,8
"relativist01",0.871967977473062,0.0196913957612704,0,0.760328153738463,0.239671846261537,"relativist","SAI",FALSE,FALSE,1,1
"relativist02",0.934506445244568,0.0170857739103033,0,0.873302296203639,0.126697703796361,"relativist","SAI",FALSE,FALSE,5,5
"relativist03",0.898785001361921,0.019795000219758,0,0.807814478673148,0.192185521326852,"relativist","SAI",FALSE,FALSE,3,3
"relativist04",0.9210195793915,0.0119172870952575,0,0.848277065622495,0.151722934377505,"relativist","SAI",FALSE,FALSE,4,4
"relativist05",0.885114389622045,0.0265196901032444,0,0.783427482716005,0.216572517283995,"relativist","SAI",FALSE,FALSE,2,2
"utilitarian01",0.896438930340279,0.0151077122606765,0,0.803602755829623,0.196397244170377,"utilitarian","SAI",FALSE,FALSE,6,6
"utilitarian02",0.902102266193244,0.0146705138181233,0,0.813788498670986,0.186211501329014,"utilitarian","SAI",FALSE,FALSE,7,7
"utilitarian03",0.868333712533609,0.0194351438206492,0,0.7540034363224,0.245996563677599,"utilitarian","SAI",FALSE,FALSE,2,2
"utilitarian04",0.923429727627269,0.0114923338783764,0,0.852722461865772,0.147277538134228,"utilitarian","SAI",FALSE,FALSE,9,9
"utilitarian05",0.909898015808033,0.0159528388660701,0,0.827914399171396,0.172085600828604,"utilitarian","SAI",FALSE,FALSE,8,8
"utilitarian06",0.884068182215741,0.0174442045417616,0,0.781576550806245,0.218423449193755,"utilitarian","SAI",FALSE,FALSE,5,5
"utilitarian07",0.880783585592388,0.0171758736384711,0,0.775779724648984,0.224220275351016,"utilitarian","SAI",FALSE,FALSE,3,3
"utilitarian08",0.861998634456373,0.0177325866715541,0,0.743041645804652,0.256958354195348,"utilitarian","SAI",FALSE,FALSE,1,1
"utilitarian09",0.881508195508289,0.0177172785341425,0,0.77705669874828,0.22294330125172,"utilitarian","SAI",FALSE,FALSE,4,4
"virtue01",0.849979108521841,0.0379059822142689,0,0.722464484923584,0.277535515076416,"virtue","SAI",FALSE,FALSE,5,5
"virtue02",0.890188174566146,0.021699474204145,0,0.792434986137407,0.207565013862593,"virtue","SAI",FALSE,FALSE,9,9
"virtue03",0.856747191790233,0.0220691008382257,0,0.734015750640451,0.265984249359549,"virtue","SAI",FALSE,FALSE,6,6
"virtue04",0.720254786240196,0.0460824217827118,0,0.51876695710191,0.48123304289809,"virtue","SAI",FALSE,FALSE,2,2
"virtue05",0.86479003978503,0.0199343785528785,0,0.747861812911393,0.252138187088607,"virtue","SAI",FALSE,FALSE,8,8
"virtue06",0.673322279561624,0.0508787923711456,0,0.453362892154061,0.546637107845939,"virtue","SAI",FALSE,FALSE,1,1
"virtue07",0.761867178587666,0.0348775998635855,0,0.580441597809131,0.419558402190869,"virtue","SAI",FALSE,FALSE,4,4
"virtue08",0.742357063572655,0.0357091625555471,0,0.551094009836215,0.448905990163785,"virtue","SAI",FALSE,FALSE,3,3
"virtue09",0.860625374417227,0.0280748706827339,0,0.740676035090792,0.259323964909208,"virtue","SAI",FALSE,FALSE,7,7
