"technology","model","chisq","df","pvalue","cfi","tli","rmsea","rmsea_lo","rmsea_hi","srmr","converged"
"NPP","six_factor_before_deletion",2426.08104431644,974,0,0.903865432729386,0.897844684676503,0.0708496525778763,0.0673212377250006,0.0743895347512143,0.0585798710694638,TRUE
"HM","six_factor_before_deletion",2163.20101034579,974,0,0.912502098229742,0.907022250172262,0.0641165184029282,0.0604868487162379,0.0677492219392802,0.0507932583191831,TRUE
"SAI","six_factor_before_deletion",2083.85919833439,974,0,0.923254513602417,0.918448071435833,0.06194071864264,0.0582714672124041,0.0656091311377853,0.0511829333550903,TRUE
