"pool_id","theory","stem_pool","study3_id","in_study3","appendix_final_id","mplus_column_id","in_mplus_final","mplus_removed","structural_drop_study3","substantive_action","substantive_note","structural_action","structural_criterion","structural_note","n_tech_residual_correlation","n_tech_low_R2","n_tech_low_loading","n_tech_cross_loading","final_status","manuscript_rationale","flagged_all_three_tech","flagged_one_or_two_tech"
"relativist01","relativist","...is culturally unacceptable / acceptable","relativist01",TRUE,"relativist01","relativist01",TRUE,FALSE,FALSE,"not_probed",NA,NA,NA,NA,3,0,0,0,"retained","Retained in final ESTA.",TRUE,FALSE
"relativist02","relativist","...unacceptable / acceptable to my family","relativist02",TRUE,"relativist02","relativist02",TRUE,FALSE,FALSE,"not_probed",NA,NA,NA,NA,2,0,0,0,"retained","Retained in final ESTA.",FALSE,TRUE
"relativist03","relativist","...traditionally unacceptable / acceptable","relativist03",TRUE,"relativist03","relativist03",TRUE,FALSE,FALSE,"not_probed",NA,NA,NA,NA,3,0,0,0,"retained","Retained in final ESTA.",TRUE,FALSE
"relativist04","relativist","...individually unacceptable / acceptable","relativist04",TRUE,"relativist04","relativist04",TRUE,FALSE,FALSE,"not_probed",NA,NA,NA,NA,3,0,0,0,"retained","Retained in final ESTA.",TRUE,FALSE
"relativist05","relativist","...unacceptable / acceptable to people I admire","relativist05",TRUE,"relativist05","relativist05",TRUE,FALSE,FALSE,"not_probed",NA,NA,NA,NA,1,0,0,0,"retained","Retained in final ESTA.",FALSE,TRUE
"contractualist01","contractualist","...is unjust / just","contractualist01",TRUE,"contractualist01","contractualist01",TRUE,FALSE,FALSE,"probed_no_change",NA,NA,NA,NA,0,0,0,0,"retained","Retained in final ESTA.",FALSE,FALSE
"contractualist02","contractualist","...is unfair / fair","contractualist02",TRUE,"contractualist02","contractualist02",TRUE,FALSE,FALSE,"probed_no_change",NA,NA,NA,NA,2,0,0,0,"retained","Retained in final ESTA.",FALSE,TRUE
"contractualist03","contractualist","...respects an unwritten contract","contractualist03",TRUE,"contractualist03","contractualist03",TRUE,FALSE,FALSE,"revised","Unwritten contract: revised to implicit moral conventions (appendix finalItems).",NA,NA,NA,1,0,0,0,"revised","Unwritten contract: revised to implicit moral conventions (appendix finalItems).",FALSE,TRUE
"contractualist04","contractualist","...respects an unspoken promise","contractualist04",TRUE,"contractualist04","contractualist04",TRUE,FALSE,FALSE,"revised","Unspoken promise: revised to important social norms (appendix finalItems).",NA,NA,NA,1,0,0,0,"revised","Unspoken promise: revised to important social norms (appendix finalItems).",FALSE,TRUE
"contractualist05","contractualist","...equal distribution of good and bad","contractualist05",TRUE,"contractualist05","contractualist05",TRUE,FALSE,FALSE,"not_probed",NA,NA,NA,NA,1,0,0,0,"retained","Retained in final ESTA.",FALSE,TRUE
"contractualist06","contractualist","...violates my ideas of fairness","contractualist06",TRUE,"contractualist06","contractualist06",TRUE,FALSE,FALSE,"probed_no_change",NA,NA,NA,NA,1,0,0,0,"retained","Retained in final ESTA.",FALSE,TRUE
"hedonism01","hedonism","...personally unsatisfactory / satisfactory","hedonism01",TRUE,"hedonism01","hedonism01",TRUE,FALSE,FALSE,"probed_no_change",NA,NA,NA,NA,3,0,0,0,"retained","Retained in final ESTA.",TRUE,FALSE
"hedonism02","hedonism","...would be selfish for me to use","hedonism02",TRUE,NA,"hedonism02",FALSE,TRUE,TRUE,"flagged","Selfishness interpreted variably (personal vs societal scope).","deleted","low_R2","Weak explained variance; aligns with probing ambiguity.",2,1,0,0,"deleted_structural","Weak explained variance; aligns with probing ambiguity.",FALSE,TRUE
"hedonism03","hedonism","...requires sacrifices in order to use it","hedonism03",TRUE,NA,"hedonism03",FALSE,TRUE,TRUE,"flagged","Sacrifices required: divergent personal vs collective interpretations.","deleted","low_R2","Lowest R² and high residual variance; local dependence.",0,1,0,0,"deleted_structural","Lowest R² and high residual variance; local dependence.",FALSE,TRUE
"hedonism04","hedonism","...not in the best interests of my person","hedonism04",TRUE,"hedonism02","hedonism04",TRUE,FALSE,FALSE,"not_probed",NA,NA,NA,NA,3,0,0,0,"retained","Retained in final ESTA.",TRUE,FALSE
"hedonism05","hedonism","...minimizes / maximizes my pleasure","hedonism05",TRUE,"hedonism03","hedonism05",TRUE,FALSE,FALSE,"not_probed",NA,NA,NA,NA,3,0,0,0,"retained","Retained in final ESTA.",TRUE,FALSE
"hedonism06","hedonism","...hindrance / promotes a good personal life","hedonism06",TRUE,"hedonism04","hedonism06",TRUE,FALSE,FALSE,"not_probed",NA,NA,NA,NA,3,0,0,0,"retained","Retained in final ESTA.",TRUE,FALSE
"hedonism07","hedonism","...harms / promotes my health","hedonism07",TRUE,"hedonism05","hedonism07",TRUE,FALSE,FALSE,"probed_no_change",NA,NA,NA,NA,3,0,0,0,"retained","Retained in final ESTA.",TRUE,FALSE
"hedonism08","hedonism","...harms / promotes my freedom","hedonism08",TRUE,"hedonism06","hedonism08",TRUE,FALSE,FALSE,"probed_no_change",NA,NA,NA,NA,2,0,0,0,"retained","Retained in final ESTA.",FALSE,TRUE
"hedonism09","hedonism","...harms / promotes my safety","hedonism09",TRUE,NA,"hedonism09",FALSE,TRUE,TRUE,"not_probed",NA,"deleted","residual_correlation","Residual covariances with health/pleasure items; weak hedonism alignment (safety).",3,0,0,0,"deleted_structural","Residual covariances with health/pleasure items; weak hedonism alignment (safety).",TRUE,FALSE
"utilitarian01","utilitarian","...least / greatest utility for society","utilitarian01",TRUE,"utilitarian01","utilitarian01",TRUE,FALSE,FALSE,"probed_no_change",NA,NA,NA,NA,3,0,0,0,"retained","Retained in final ESTA.",TRUE,FALSE
"utilitarian02","utilitarian","...minimizes / maximizes benefits for society","utilitarian02",TRUE,"utilitarian02","utilitarian02",TRUE,FALSE,FALSE,"not_probed",NA,NA,NA,NA,3,0,0,0,"retained","Retained in final ESTA.",TRUE,FALSE
"utilitarian03","utilitarian","...maximizes / minimizes harm for society","utilitarian03",TRUE,"utilitarian03","utilitarian03",TRUE,FALSE,FALSE,"not_probed",NA,NA,NA,NA,1,0,0,0,"retained","Retained in final ESTA.",FALSE,TRUE
"utilitarian04","utilitarian","...bad / good for society overall","utilitarian04",TRUE,"utilitarian04","utilitarian04",TRUE,FALSE,FALSE,"not_probed",NA,NA,NA,NA,1,0,0,0,"retained","Retained in final ESTA.",FALSE,TRUE
"utilitarian05","utilitarian","...OK if justified by consequences for society","utilitarian05",TRUE,"utilitarian05","utilitarian05",TRUE,FALSE,FALSE,"not_probed",NA,NA,NA,NA,3,0,0,0,"retained","Retained in final ESTA.",TRUE,FALSE
"utilitarian06","utilitarian","...least / greatest good for greatest number","utilitarian06",TRUE,"utilitarian06","utilitarian06",TRUE,FALSE,FALSE,"not_probed",NA,NA,NA,NA,2,0,0,0,"retained","Retained in final ESTA.",FALSE,TRUE
"utilitarian07","utilitarian","...greatest / least ill for greatest number","utilitarian07",TRUE,"utilitarian07","utilitarian07",TRUE,FALSE,FALSE,"not_probed",NA,NA,NA,NA,0,0,0,0,"retained","Retained in final ESTA.",FALSE,FALSE
"utilitarian08","utilitarian","...negative / positive cost-benefit ratio","utilitarian08",TRUE,"utilitarian08","utilitarian08",TRUE,FALSE,FALSE,"not_probed",NA,NA,NA,NA,1,0,0,0,"retained","Retained in final ESTA.",FALSE,TRUE
"utilitarian09","utilitarian","...inefficient / efficient for society","utilitarian09",TRUE,"utilitarian09","utilitarian09",TRUE,FALSE,FALSE,"not_probed",NA,NA,NA,NA,1,0,0,0,"retained","Retained in final ESTA.",FALSE,TRUE
"utilitarian10","utilitarian","...future harm / benefit for society",NA,FALSE,NA,NA,FALSE,FALSE,FALSE,"not_probed",NA,NA,NA,NA,0,0,0,0,"not_fielded_study3",NA,FALSE,FALSE
"deontology01","deontology","...moral obligation to act in a certain way","deontology01",TRUE,NA,"deontology01",FALSE,TRUE,TRUE,"probed_no_change",NA,"deleted","low_R2","Lowest R² across technologies; moral-obligation wording.",2,1,0,0,"deleted_structural","Lowest R² across technologies; moral-obligation wording.",FALSE,TRUE
"deontology02","deontology","...harms / promotes autonomy of users","deontology02",TRUE,"deontology01","deontology02",TRUE,FALSE,FALSE,"probed_no_change",NA,"retained_despite_flag","cross_loading","Cross-loading indication with Hedonism; retained for theoretical centrality of autonomy.",2,0,0,0,"retained","Cross-loading indication with Hedonism; retained for theoretical centrality of autonomy.",FALSE,TRUE
"deontology03","deontology","...obliges immoral / moral behaviour","deontology03",TRUE,"deontology02","deontology03",TRUE,FALSE,FALSE,"probed_no_change",NA,NA,NA,NA,2,0,0,0,"retained","Retained in final ESTA.",FALSE,TRUE
"deontology04","deontology","...not morally right / morally right","deontology04",TRUE,"deontology03","deontology04",TRUE,FALSE,FALSE,"probed_no_change",NA,NA,NA,NA,3,0,0,0,"retained","Retained in final ESTA.",TRUE,FALSE
