"item","k","expected_vocab","pct_of_full_vocab"
"contractualist06",32,410,1
"deontology01",2,39.15,0.09
"deontology01",3,60.49,0.139057471264368
"deontology01",4,77.428,0.177995402298851
"deontology01",5,91.15,0.209540229885057
"deontology01",6,107.392,0.24687816091954
"deontology01",7,124.212,0.285544827586207
"deontology01",8,140.132,0.322142528735632
"deontology01",9,153.114,0.351986206896552
"deontology01",10,168.266,0.386818390804598
"deontology01",11,184.492,0.424119540229885
"deontology01",12,195.286,0.448933333333333
"deontology01",13,209.294,0.481135632183908
"deontology01",14,217.694,0.500445977011494
"deontology01",15,239.854,0.551388505747127
"deontology01",16,250.616,0.576128735632184
"deontology01",17,260.6,0.599080459770115
"deontology01",18,271.412,0.623935632183908
"deontology01",19,284.544,0.654124137931034
"deontology01",20,296.496,0.6816
"deontology01",21,307.792,0.707567816091954
"deontology01",22,316.512,0.727613793103448
"deontology01",23,330.784,0.760422988505747
"deontology01",24,339.058,0.77944367816092
"deontology01",25,351.29,0.807563218390805
"deontology01",26,363.36,0.835310344827586
"deontology01",27,374.622,0.8612
"deontology01",28,381.446,0.876887356321839
"deontology01",29,393.724,0.905112643678161
"deontology01",30,403.344,0.927227586206896
"deontology01",31,415.608,0.955420689655172
"deontology01",32,425.776,0.978795402298851
"deontology01",33,435,1
"deontology02",2,38.208,0.0952817955112219
"deontology02",3,56.086,0.139865336658354
"deontology02",4,71.854,0.179187032418953
"deontology02",5,87.9,0.219201995012469
"deontology02",6,105.206,0.262359102244389
"deontology02",7,116.452,0.290403990024938
"deontology02",8,133.044,0.331780548628429
"deontology02",9,145.816,0.363630922693267
"deontology02",10,157.746,0.393381546134663
"deontology02",11,172.82,0.430972568578554
"deontology02",12,185.588,0.462812967581047
"deontology02",13,199.756,0.49814463840399
"deontology02",14,209.64,0.522793017456359
"deontology02",15,220.028,0.54869825436409
"deontology02",16,233.482,0.582249376558604
"deontology02",17,244.636,0.610064837905237
"deontology02",18,255.476,0.637097256857855
"deontology02",19,265.236,0.661436408977556
"deontology02",20,277.208,0.691291770573566
"deontology02",21,289.108,0.720967581047382
"deontology02",22,297.678,0.742339152119701
"deontology02",23,307.842,0.76768578553616
"deontology02",24,317.148,0.790892768079801
"deontology02",25,327.89,0.817680798004987
"deontology02",26,337.174,0.840832917705736
"deontology02",27,346.742,0.864693266832918
"deontology02",28,355.832,0.887361596009975
"deontology02",29,365.446,0.911336658354115
"deontology02",30,374.176,0.9331072319202
"deontology02",31,383.538,0.956453865336658
"deontology02",32,392.18,0.978004987531172
"deontology02",33,401,1
"deontology03",2,33.13,0.100090634441088
"deontology03",3,48.266,0.145818731117825
"deontology03",4,61.338,0.185311178247734
