"technology","factor","alpha","omega","AVE_latent","AVE_obs","sqrt_AVE","min_loading","max_loading","flag_loading_below_50","flag_loading_below_70"
"NPP","Hedonism",0.94742672677121,0.95185296654301,0.760523939379431,0.760525333049335,0.872080236778378,0.806257673972896,0.925664712670773,FALSE,FALSE
"NPP","Utilitarianism",0.969501670091193,0.969772540179836,0.783153924468071,0.783154965952595,0.884959843421198,0.825083431228265,0.925956657114795,FALSE,FALSE
"NPP","Contractualism",0.950986466471446,0.95245027505012,0.766783934360171,0.76678363641646,0.875661997782347,0.814199304833373,0.919723773592977,FALSE,FALSE
"NPP","Deontology",0.906278950307091,0.910036191721105,0.6265283518322,0.626528404715329,0.791535439403821,0.714896900814924,0.863250954090899,FALSE,FALSE
"NPP","Virtue",0.944650882492053,0.94558170062614,0.715588386066928,0.715587660756015,0.84592457469146,0.735930669512806,0.908218489327151,FALSE,FALSE
"NPP","Relativism",0.948317171331156,0.94940600731236,0.791620319332647,0.791621178687534,0.889730475668136,0.871317006735526,0.905678852801181,FALSE,FALSE
"SR","Hedonism",0.92124298971563,0.928320087326163,0.687017976018156,0.687018133306658,0.828865475223909,0.684292524234606,0.904626211761961,FALSE,TRUE
"SR","Utilitarianism",0.96552938520876,0.965660938030039,0.766449838118089,0.766449203142843,0.875471209188565,0.781807113676586,0.933689839431075,FALSE,FALSE
"SR","Contractualism",0.931741915571006,0.934533243096977,0.698272605023639,0.69827274116361,0.835627072936031,0.776081710311008,0.883213833994785,FALSE,FALSE
"SR","Deontology",0.918523726161171,0.922396098235245,0.660119405144301,0.660119548592928,0.812477325926269,0.749584429912637,0.896026357544763,FALSE,FALSE
"SR","Virtue",0.943664639592177,0.945460878133415,0.707525078369265,0.707522200530936,0.841145099474083,0.73646046841879,0.895335800299433,FALSE,FALSE
"SR","Relativism",0.94599732154968,0.947836516092135,0.78544764767439,0.78544762570051,0.886254843526618,0.832761475400491,0.926046120178445,FALSE,FALSE
"SAI_narrative","Hedonism",0.930595844481547,0.930091831592388,0.70264491634807,0.702645304932445,0.838239176099561,0.719379400663666,0.905155590477127,FALSE,FALSE
"SAI_narrative","Utilitarianism",0.970967187577271,0.971282663135855,0.790496306183748,0.790496259844964,0.889098591936658,0.861726143479368,0.926645199020776,FALSE,FALSE
"SAI_narrative","Contractualism",0.943447469152776,0.945627929923483,0.742489013560182,0.742488953174945,0.861678021978153,0.714873597166889,0.926396053973596,FALSE,FALSE
"SAI_narrative","Deontology",0.909131180827637,0.913885650801042,0.632609098993263,0.632609175808164,0.795367273021252,0.703153745549613,0.864512403214731,FALSE,FALSE
"SAI_narrative","Virtue",0.936053726826655,0.938528914107297,0.68123973707822,0.681239542085025,0.825372483838794,0.714394870224829,0.891401276856775,FALSE,FALSE
"SAI_narrative","Relativism",0.955882085463357,0.955370328542868,0.81636308149815,0.816363246264547,0.903528129887582,0.862982027922426,0.932325938410657,FALSE,FALSE
"SAI_descriptive","Hedonism",0.924907771165484,0.924012918163991,0.679458092094791,0.679458680751293,0.824292479702921,0.738598774935854,0.87314513487055,FALSE,FALSE
"SAI_descriptive","Utilitarianism",0.959913231707765,0.960924516432516,0.733784475175504,0.733785445338517,0.856612208163941,0.805720496451624,0.917185210086678,FALSE,FALSE
"SAI_descriptive","Contractualism",0.936709807082023,0.937370711271411,0.716773916861594,0.716772177204064,0.846625015494814,0.700696207721131,0.917090501600247,FALSE,FALSE
"SAI_descriptive","Deontology",0.925637916664616,0.930663930056259,0.689874207961191,0.689873785272259,0.830586664930994,0.710920247471086,0.907604381205024,FALSE,FALSE
"SAI_descriptive","Virtue",0.926692736770588,0.925613888835251,0.649055955841946,0.649055706740259,0.805640090761344,0.692611359235449,0.876085545722227,FALSE,TRUE
"SAI_descriptive","Relativism",0.948856263519318,0.949778361283702,0.794448513673714,0.794447982106156,0.891318413180001,0.856799502431247,0.931521937272691,FALSE,FALSE
