"scope","n_pairs","n_fail_htmt85","n_fail_htmt90","n_fail_htmt_inf","max_htmt2","fl_pass_pct"
"Study_3",45,0,0,0,0.847563436393185,88.9
"All_technologies",60,0,0,0,0.847563436393185,91.7
