"outcome","R2_general","adj_R2_general","R2_subscales","adj_R2_subscales","delta_R2","anova_F","anova_p"
"Acceptability",0.49173087937449,0.490849997016387,0.536577672505408,0.53171659914008,0.0448467931309178,11.0708371819589,3.40446883350524e-10
"Risk",0.27305579945872,0.271795930826933,0.332662177258053,0.325662130166354,0.0596063777993326,10.2181674526194,2.15362158561782e-09
"Benefit",0.397527850441082,0.396483704601292,0.413540213190731,0.407388537105319,0.0160123627496481,3.12351219940578,0.0086086435725467
