"factor_i","factor_j","htmt","ci_lo","ci_hi","htmt2","point","technology","flag_85","flag_90","flag_100"
"Utilitarianism","Hedonism",0.81605075444998,0.755330906755716,0.86333977121069,TRUE,0.81605075444998,"NPP",FALSE,TRUE,TRUE
"Contractualism","Hedonism",0.687368791244847,0.582162069323885,0.7762619896393,TRUE,0.687368791244847,"NPP",TRUE,TRUE,TRUE
"Contractualism","Utilitarianism",0.732321021035557,0.653983361064818,0.795434831848853,TRUE,0.732321021035557,"NPP",TRUE,TRUE,TRUE
"Deontology","Hedonism",0.761577221131584,0.685955223929306,0.825820352117205,TRUE,0.761577221131584,"NPP",TRUE,TRUE,TRUE
"Deontology","Utilitarianism",0.847563436393185,0.797601694518107,0.886489404300965,TRUE,0.847563436393185,"NPP",FALSE,TRUE,TRUE
"Deontology","Contractualism",0.807557739292222,0.713191427653379,0.876825831954115,TRUE,0.807557739292222,"NPP",FALSE,TRUE,TRUE
"Virtue","Hedonism",0.626736638660858,0.52517862343504,0.709377330297197,TRUE,0.626736638660858,"NPP",TRUE,TRUE,TRUE
"Virtue","Utilitarianism",0.678952949019103,0.601195527923286,0.748115258502635,TRUE,0.678952949019103,"NPP",TRUE,TRUE,TRUE
"Virtue","Contractualism",0.686509485818567,0.590846855459263,0.761491834333072,TRUE,0.686509485818567,"NPP",TRUE,TRUE,TRUE
"Virtue","Deontology",0.712593119032208,0.623994580338229,0.792084159714463,TRUE,0.712593119032208,"NPP",TRUE,TRUE,TRUE
"Relativism","Hedonism",0.777155560153418,0.692608662145602,0.84024311616126,TRUE,0.777155560153418,"NPP",TRUE,TRUE,TRUE
"Relativism","Utilitarianism",0.7530907453823,0.669696825669912,0.815281420709985,TRUE,0.7530907453823,"NPP",TRUE,TRUE,TRUE
"Relativism","Contractualism",0.693603967638064,0.584292689736911,0.785214006410526,TRUE,0.693603967638064,"NPP",TRUE,TRUE,TRUE
"Relativism","Deontology",0.765529106347238,0.68346728994076,0.832028376667861,TRUE,0.765529106347238,"NPP",TRUE,TRUE,TRUE
"Relativism","Virtue",0.632479590748393,0.526462825971686,0.722284955655236,TRUE,0.632479590748393,"NPP",TRUE,TRUE,TRUE
"Utilitarianism","Hedonism",0.7716243986716,0.698736252908371,0.837533035357397,TRUE,0.7716243986716,"SR",TRUE,TRUE,TRUE
"Contractualism","Hedonism",0.766957501455704,0.682093066669587,0.828887057045008,TRUE,0.766957501455704,"SR",TRUE,TRUE,TRUE
"Contractualism","Utilitarianism",0.77937226912757,0.703092433548035,0.83747430242212,TRUE,0.77937226912757,"SR",TRUE,TRUE,TRUE
"Deontology","Hedonism",0.75889866940023,0.677783481123334,0.826198260419684,TRUE,0.75889866940023,"SR",TRUE,TRUE,TRUE
"Deontology","Utilitarianism",0.771599357349887,0.690154444671448,0.837350646059393,TRUE,0.771599357349887,"SR",TRUE,TRUE,TRUE
"Deontology","Contractualism",0.832588085219347,0.763007354377658,0.887402915171967,TRUE,0.832588085219347,"SR",FALSE,TRUE,TRUE
"Virtue","Hedonism",0.599798628182504,0.469582395518654,0.708475961499758,TRUE,0.599798628182504,"SR",TRUE,TRUE,TRUE
"Virtue","Utilitarianism",0.656639381258353,0.543944065005077,0.752091703770719,TRUE,0.656639381258353,"SR",TRUE,TRUE,TRUE
"Virtue","Contractualism",0.635877695628653,0.530144916785629,0.721125820435091,TRUE,0.635877695628653,"SR",TRUE,TRUE,TRUE
"Virtue","Deontology",0.65818801307625,0.557265769278531,0.73505061448513,TRUE,0.65818801307625,"SR",TRUE,TRUE,TRUE
"Relativism","Hedonism",0.728187845221342,0.627930584650161,0.813974765154665,TRUE,0.728187845221342,"SR",TRUE,TRUE,TRUE
"Relativism","Utilitarianism",0.698243698970279,0.599541336651546,0.780235211231535,TRUE,0.698243698970279,"SR",TRUE,TRUE,TRUE
"Relativism","Contractualism",0.727325436303174,0.63715828276413,0.804067963742036,TRUE,0.727325436303174,"SR",TRUE,TRUE,TRUE
"Relativism","Deontology",0.729422437110104,0.652601157301689,0.794258200695885,TRUE,0.729422437110104,"SR",TRUE,TRUE,TRUE
"Relativism","Virtue",0.543201128395424,0.420649476726124,0.642655614890767,TRUE,0.543201128395424,"SR",TRUE,TRUE,TRUE
"Utilitarianism","Hedonism",0.779278783621732,0.711273387710727,0.834934195681644,TRUE,0.779278783621732,"SAI_narrative",TRUE,TRUE,TRUE
"Contractualism","Hedonism",0.706378860883415,0.605858148390605,0.786938221013019,TRUE,0.706378860883415,"SAI_narrative",TRUE,TRUE,TRUE
"Contractualism","Utilitarianism",0.77416117381248,0.690945519431664,0.839366008765639,TRUE,0.77416117381248,"SAI_narrative",TRUE,TRUE,TRUE
"Deontology","Hedonism",0.799222724183204,0.719220705011731,0.863945027739936,TRUE,0.799222724183204,"SAI_narrative",FALSE,TRUE,TRUE
"Deontology","Utilitarianism",0.812980830413646,0.733929451072638,0.874938493650725,TRUE,0.812980830413646,"SAI_narrative",FALSE,TRUE,TRUE
"Deontology","Contractualism",0.810364467700592,0.731200224708861,0.877364066954413,TRUE,0.810364467700592,"SAI_narrative",FALSE,TRUE,TRUE
"Virtue","Hedonism",0.562084883387378,0.453305861085156,0.656594971513595,TRUE,0.562084883387378,"SAI_narrative",TRUE,TRUE,TRUE
"Virtue","Utilitarianism",0.586908191575187,0.460946463995434,0.699732335201631,TRUE,0.586908191575187,"SAI_narrative",TRUE,TRUE,TRUE
"Virtue","Contractualism",0.562741205496977,0.44639905476567,0.662003940697718,TRUE,0.562741205496977,"SAI_narrative",TRUE,TRUE,TRUE
"Virtue","Deontology",0.702514778890965,0.608430500903013,0.773868450523086,TRUE,0.702514778890965,"SAI_narrative",TRUE,TRUE,TRUE
"Relativism","Hedonism",0.715149611668471,0.633399086262956,0.787771558621748,TRUE,0.715149611668471,"SAI_narrative",TRUE,TRUE,TRUE
"Relativism","Utilitarianism",0.780924865152994,0.713529084021756,0.835722693320877,TRUE,0.780924865152994,"SAI_narrative",TRUE,TRUE,TRUE
"Relativism","Contractualism",0.721317513985534,0.634030781016177,0.796285530468607,TRUE,0.721317513985534,"SAI_narrative",TRUE,TRUE,TRUE
"Relativism","Deontology",0.727605826834954,0.618109784594731,0.810804714884234,TRUE,0.727605826834954,"SAI_narrative",TRUE,TRUE,TRUE
"Relativism","Virtue",0.534364375568063,0.399512787026028,0.648245143041936,TRUE,0.534364375568063,"SAI_narrative",TRUE,TRUE,TRUE
"Utilitarianism","Hedonism",0.734914970888518,0.681661352679018,0.784529326360228,TRUE,0.734914970888518,"SAI_descriptive",TRUE,TRUE,TRUE
"Contractualism","Hedonism",0.629385026303751,0.551505602889979,0.693998808766593,TRUE,0.629385026303751,"SAI_descriptive",TRUE,TRUE,TRUE
"Contractualism","Utilitarianism",0.663995844452293,0.599013189689638,0.722757464249397,TRUE,0.663995844452293,"SAI_descriptive",TRUE,TRUE,TRUE
"Deontology","Hedonism",0.73995395139051,0.683853171089682,0.786796999233665,TRUE,0.73995395139051,"SAI_descriptive",TRUE,TRUE,TRUE
"Deontology","Utilitarianism",0.743534526685074,0.686776336370165,0.794605715339427,TRUE,0.743534526685074,"SAI_descriptive",TRUE,TRUE,TRUE
"Deontology","Contractualism",0.742508209521113,0.675578392458678,0.797147089548634,TRUE,0.742508209521113,"SAI_descriptive",TRUE,TRUE,TRUE
"Virtue","Hedonism",0.496665343361429,0.406798592382584,0.572527291974351,TRUE,0.496665343361429,"SAI_descriptive",TRUE,TRUE,TRUE
"Virtue","Utilitarianism",0.556525183095193,0.478366722832342,0.626630009804119,TRUE,0.556525183095193,"SAI_descriptive",TRUE,TRUE,TRUE
"Virtue","Contractualism",0.547032841654866,0.457511261381316,0.626158266308322,TRUE,0.547032841654866,"SAI_descriptive",TRUE,TRUE,TRUE
"Virtue","Deontology",0.529889097344528,0.436374888569452,0.613768248801337,TRUE,0.529889097344528,"SAI_descriptive",TRUE,TRUE,TRUE
"Relativism","Hedonism",0.641815279124937,0.567564669010511,0.705399688394052,TRUE,0.641815279124937,"SAI_descriptive",TRUE,TRUE,TRUE
"Relativism","Utilitarianism",0.701257720421072,0.644473160664737,0.751281499168284,TRUE,0.701257720421072,"SAI_descriptive",TRUE,TRUE,TRUE
"Relativism","Contractualism",0.650075285867364,0.566425948024885,0.725203975905595,TRUE,0.650075285867364,"SAI_descriptive",TRUE,TRUE,TRUE
"Relativism","Deontology",0.721939713482732,0.65129871387867,0.778057293739658,TRUE,0.721939713482732,"SAI_descriptive",TRUE,TRUE,TRUE
"Relativism","Virtue",0.421437465031664,0.325430117138003,0.505917634931025,TRUE,0.421437465031664,"SAI_descriptive",TRUE,TRUE,TRUE
