Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Total rejections,Approval rate,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Custom study tncs accepted at
63383bd76df481d142c410fe,5995be89f9db7d0001895993,APPROVED,2022-10-01T13:08:44.855000Z,2022-10-01T13:41:33.775000Z,2022-10-01T13:41:34.134000Z,2022-10-01T13:41:34.074932Z,1969.0,CSWUVDXK,4016,5.0,100.0,English,64,Female,White,United States,United States,United States,English,No,Full-Time,
63383bdb1b635d7cbb166222,5f4a4da1575d605c43bef871,RETURNED,2022-10-01T13:12:41.065000Z,,,2025-09-03T08:57:02.257281Z,,,5664,,,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
63383c29863b2062f77e36ba,62d318d647553bdd78a24655,APPROVED,2022-10-01T13:10:42.396000Z,2022-10-01T13:30:24.652000Z,2022-10-01T13:30:25.047000Z,2022-10-01T13:30:24.984406Z,1183.0,CSWUVDXK,176,1.0,100.0,"English, Twi",37,Male,Black,Ghana,United States,United States,English,Yes,Full-Time,
63383c933c7ff5080e3b817f,60bb4ce0772c798d3242a78a,APPROVED,2022-10-01T13:14:29.179000Z,2022-10-01T14:11:24.133000Z,2022-10-01T14:11:24.584000Z,2022-10-01T14:11:24.519715Z,3415.0,CSWUVDXK,627,2.0,100.0,English,40,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
63383cad7ed4a39d06e7ee06,607a7c3112ff1d9371319ed6,APPROVED,2022-10-01T13:12:27.666000Z,2022-10-01T13:43:34.736000Z,2022-10-01T13:43:35.221000Z,2022-10-01T13:43:35.147745Z,1868.0,CSWUVDXK,678,5.0,99.0,English,38,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
63383d15f59192d12d1b91cc,5ba16cc388ec69000112a59b,APPROVED,2022-10-01T13:14:00.966000Z,2022-10-01T13:37:18.416000Z,2022-10-01T13:37:18.824000Z,2022-10-01T13:37:18.754504Z,1398.0,CSWUVDXK,259,0.0,100.0,English,29,Female,White,United States,United States,United States,English,No,DATA_EXPIRED,
63383d88780f89218d5c549f,6298fbc8e35ae6800ccb3128,APPROVED,2022-10-01T13:16:23.975000Z,2022-10-01T13:47:14.266000Z,2022-10-01T13:47:14.751000Z,2022-10-01T13:47:14.678631Z,1851.0,CSWUVDXK,739,0.0,100.0,English,DATA_EXPIRED,Female,White,United States,United States,United States,English,No,Full-Time,
63383dd409a3b30bc926a04e,60fd59c17cfaeda9845ab8b1,APPROVED,2022-10-01T13:17:11.471000Z,2022-10-01T13:38:58.102000Z,2022-10-01T13:38:58.527000Z,2022-10-01T13:38:58.466691Z,1307.0,CSWUVDXK,310,0.0,100.0,English,32,Female,White,United States,United States,United States,English,No,Full-Time,
63383e32826c4639b084db52,60ff1fe6edf4aebfaf7b4978,APPROVED,2022-10-01T13:18:46.473000Z,2022-10-01T13:29:10.113000Z,2022-10-01T13:29:10.520000Z,2022-10-01T13:29:10.456724Z,624.0,CSWUVDXK,204,4.0,96.0,English,29,Female,White,United States,United States,United States,English,No,Full-Time,
63383e3fa395115707e1d0a3,60b348a8332d26d4b88be6a1,APPROVED,2022-10-01T13:19:00.737000Z,2022-10-01T13:49:08.824000Z,2022-10-01T13:49:09.292000Z,2022-10-01T13:49:09.219672Z,1809.0,CSWUVDXK,531,9.0,95.0,English,40,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
63383e6c04fe988186c11980,5e876872ca754f08ceb52e9e,APPROVED,2022-10-01T13:19:44.554000Z,2022-10-01T13:30:51.099000Z,2022-10-01T13:30:51.588000Z,2022-10-01T13:30:51.522883Z,667.0,CSWUVDXK,2489,4.0,100.0,English,38,Female,Mixed,United States,United States,United States,English,No,Full-Time,
63383e97d8f0f2c6e6e1d035,5ce973ea6c890100012ea2ae,APPROVED,2022-10-01T13:20:27.249000Z,2022-10-01T14:07:56.035000Z,2022-10-01T14:07:56.488000Z,2022-10-01T14:07:56.406515Z,2849.0,CSWUVDXK,613,0.0,100.0,English,35,Female,White,United States,United States,United States,English,No,Full-Time,
63383e9a7ee5235b55651c8a,60c381c26357c51532f1b378,APPROVED,2022-10-01T13:20:28.660000Z,2022-10-01T13:37:50.216000Z,2022-10-01T13:37:50.667000Z,2022-10-01T13:37:50.596585Z,1042.0,CSWUVDXK,465,4.0,99.0,English,21,Female,Mixed,United States,United States,United States,English,No,Unemployed (and job seeking),
63383facb1b17843042134c1,5cdb3e9caa4e2a00019a16bc,APPROVED,2022-10-01T13:25:08.769000Z,2022-10-01T14:19:54.303000Z,2022-10-01T14:19:54.736000Z,2022-10-01T14:19:54.673150Z,3286.0,CSWUVDXK,604,1.0,100.0,English,50,Male,Black,United States,United States,United States,English,No,Unemployed (and job seeking),
63383ff0766fc00255b354ae,5f496b791798ec4d6340620d,APPROVED,2022-10-01T13:26:53.451000Z,2022-10-01T13:36:37.085000Z,2022-10-01T13:36:37.555000Z,2022-10-01T13:36:37.495870Z,584.0,CSWUVDXK,2014,18.0,98.0,English,33,Male,White,United States,United States,United States,English,No,DATA_EXPIRED,
6338404ed6c155ec5d651cd2,57ce74a271536c00015f12ed,APPROVED,2022-10-01T13:27:44.972000Z,2022-10-01T13:44:07.169000Z,2022-10-01T13:44:07.657000Z,2022-10-01T13:44:07.589427Z,983.0,CSWUVDXK,1864,5.0,100.0,English,27,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking),
63384067f141adcee03b81c6,60ace56a83e45642b22d9954,APPROVED,2022-10-01T13:28:10.282000Z,2022-10-01T13:53:04.577000Z,2022-10-01T13:53:05.042000Z,2022-10-01T13:53:04.977615Z,1495.0,CSWUVDXK,806,1.0,100.0,English,33,Female,White,United States,United States,United States,English,No,Full-Time,
63384147e36c6f927fe7edff,60f43c3a0fd9723feba1af38,APPROVED,2022-10-01T13:32:22.714000Z,2022-10-01T14:16:58.856000Z,2022-10-01T14:16:59.410000Z,2022-10-01T14:16:59.339900Z,2677.0,CSWUVDXK,2402,6.0,100.0,"French, English",51,Male,White,France,United States,United States,English,No,DATA_EXPIRED,
