Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6356bb6c6aedb5fd7ae4b66f,5ec802e542730c299fbbafef,APPROVED,2022-10-24T16:23:13.669000Z,2022-10-24T16:56:11.053000Z,2022-10-24T16:56:11.498000,2022-10-24T16:56:11.405542Z,1978,C1KCG103,238,English,42,Male,Asian,United States,United States,Korea,English,No,Full-Time
6356bd2703886550d4da42b2,600b4cdb45d6e41cbaa79e33,APPROVED,2022-10-24T16:28:26.612000Z,2022-10-24T16:45:35.024000Z,2022-10-24T16:45:35.464000,2022-10-24T16:45:35.382607Z,1029,C1KCG103,576,"English, Korean",35,Female,Asian,Korea,United States,Korea,Korean,No,Full-Time
6356bf6afb408272573eb3ab,5e48ae9451537d349b8113b4,APPROVED,2022-10-24T16:38:05.828000Z,2022-10-24T17:02:46.202000Z,2022-10-24T17:02:46.845000,2022-10-24T17:02:46.777952Z,1481,C1KCG103,1074,English,58,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
